Titel,Autor,ISBN,Erscheinungsjahr,Auflage,Zustand,Verlag,Preis,Bestand,Status,Leihfrist
"Ganz der Affe, ['Belletristik']",Hans-Günter Junitz,978-1-175-63555-6,10061932,6,"['In Ordnung', 'Verloren', 'Abgenutzt', 'Ausgemustert', 'Verloren', 'Abgenutzt', 'Beschädigt']",Droemer Knaur,28.33,7,"['verliehen', 'rot', 'grün', 'vorgemerkt', 'verfügbar', 'rot', 'rot']",14
"Hart der Zwei, ['Kinder- und Jugendbücher']",Swantje Thanel,978-0-514-44644-0,19600220,5,"['Sehr gut', 'Verloren', 'Beschädigt', 'Abgenutzt', 'Sehr gut', 'In Reparatur', 'Neu']",Redline Verlag,12.01,7,"['vorgemerkt', 'verliehen', 'rot', 'ausgeliehen', 'rot', 'rot', 'rot']",14
"Nun der Schnee, ['Gesundheit', 'Sachbücher']",Silvia Budig,978-0-7101-3360-1,21031906,6,"['Neu', 'Beschädigt']",Verlag Moderne Industrie,29.3,2,"['verfügbar', 'verloren']",21
"Lehrerin der Im, ['Reiseliteratur']",Gretchen Bolander,978-1-60061-444-6,16121882,7,['Sehr gut'],Goldmann Verlag,18.35,9,"['grün', 'vorgemerkt', 'gelb', 'grün', 'rot', 'rot', 'verfügbar', 'verfügbar', 'verfügbar']",10
"Winter der Wagen, ['Sachbücher']",Cläre Adler,978-0-373-29955-3,13041876,9,"['Neu', 'Gut', 'Gut', 'Neu', 'Abgenutzt', 'Beschädigt', 'Neu', 'Gut', 'Neu']",Verlagsgruppe Random House,30.39,9,"['verliehen', 'grün', 'rot', 'verfügbar', 'verfügbar', 'rot']",21
"Merken der Wasser, ['Kinder- und Jugendbücher']",Helene Adler,978-0-7842-4912-3,18910414,1,['Gut'],WEKA-Verlagsgruppe,39.55,3,"['rot', 'grün', 'gelb']",14
"Wissen der Er, ['Sachbücher', 'Sport']",Marieluise Wirth,978-1-113-64962-1,13031983,4,"['Neu', 'Abgenutzt', 'Ausgemustert', 'Neu', 'Neu', 'Abgenutzt', 'Beschädigt', 'Neu']",Silberschnur Verlag,28.89,8,"['verliehen', 'grün', 'verfügbar', 'verfügbar', 'verfügbar', 'grün', 'ausgeliehen', 'grün']",14
"Lehrer der Erzählen, ['Belletristik']","Spieß, Angela",978-1-03-820824-8,17051906,9,"['In Ordnung', 'Gut', 'In Ordnung', 'In Ordnung']",Campus Verlag,34.44,4,"['grün', 'verfügbar', 'verfügbar', 'gelb']",14
"Gelb der Beim, ['Sprachen']","Gnatz, Holger",978-1-00-709270-0,13021885,8,"['Gut', 'In Reparatur', 'In Ordnung']",Reclam Verlag,35.36,3,[],21
"Gab der Ist, ['Belletristik']",Hans-Günter Schmidt,978-0-452-11804-1,23061951,4,"['Beschädigt', 'Neu', 'Gut', 'In Ordnung', 'Sehr gut', 'Neu', 'Sehr gut']",Verlag Gerhard Rautenberg,50.12,7,"['ausgeliehen', 'verfügbar', 'verfügbar', 'verfügbar', 'verfügbar', 'verfügbar', 'verfügbar']",14
"Sitzen der Man, ['Wissenschaft', 'Naturwissenschaften']",Thea Trub,978-0-264-10748-6,12042012,20,"['Sehr gut', 'Sehr gut', 'Neu']",HEYNE VERLAG,1704,3,[],28
"Schüler der Herz, ['Kinder- und Jugendbücher']",Milan Hövel,978-0-926910-59-1,01061883,6,"['Sehr gut', 'In Ordnung', 'In Ordnung', 'Neu']",Heyne Verlag,40.25,4,"['rot', 'verliehen', 'verfügbar', 'verliehen']",7
"Las der Verstecken, ['Technik']",Dino Oderwald,978-1-71852-353-1,21112005,4,"['Sehr gut', 'In Reparatur', 'Sehr gut', 'Abgenutzt', 'Abgenutzt', 'Sehr gut', 'Gut', 'Sehr gut', 'Gut']",Nomos Verlagsgesellschaft,23.13,9,"['ausgeliehen', 'verfügbar', 'verfügbar', 'rot', 'verliehen', 'gelb', 'verliehen', 'grün', 'gelb']",28
"Vogel der Beim, ['Sprachen']",Dajana Sontag,978-0-264-51319-5,15062021,9,"['Neu', 'Beschädigt', 'Verloren', 'Neu', 'Neu']",Hubert Burda Media,26.3,5,"['verfügbar', 'grün', 'ausgeliehen', 'gelb', 'rot']",21
"Junge der Merken, ['Wissenschaft']",Joachim Kroker,978-1-284-07873-2,24031971,1,"['Unvollständig', 'Neu', 'Neu', 'Gut', 'Neu', 'Gut', 'Beschädigt', 'Gut']",O'Reilly Media,40.86,8,"['verliehen', 'verliehen', 'grün', 'verliehen', 'verfügbar', 'verfügbar', 'rot', 'verliehen']",28
"Den der Sonst, ['Sachbücher', 'Sachbücher']",Janna Zirme,978-1-104-42524-1,02061879,6,"['In Reparatur', 'Unvollständig', 'Ausgemustert']",MM Verlag,22.83,3,"['verfügbar', 'verfügbar']",21
"Frage der Fiel, ['Kinder- und Jugendbücher']",Kathleen Reuter,978-0-569-68177-3,02081995,7,"['Sehr gut', 'Verloren', 'Neu', 'Gut', 'Neu', 'Abgenutzt', 'Neu', 'Abgenutzt', 'Ausgemustert']",Verlagsgruppe Handelsblatt,34.29,9,"['gelb', 'vorgemerkt', 'verfügbar', 'rot', 'rot', 'gelb', 'verfügbar', 'verfügbar', 'verfügbar']",14
"Loch der Herz, ['Biografien']",Samuel Fröhlich,978-1-334-14886-6,01041968,3,[],Münchener Verlagsgruppe,2405,0,[],21
"Frage der Schreien, ['Gesundheit']",Gretchen Pärtzelt,978-1-885217-69-1,25051930,5,"['Beschädigt', 'Neu', 'In Ordnung', 'Sehr gut', 'In Ordnung']",GOLDMANN VERLAG,36.32,5,[],21
"Spät der Teller, ['Philosophie']",Julia Bolander,978-1-71341-911-2,21011947,7,"['Neu', 'Neu', 'Unvollständig', 'Unvollständig', 'Sehr gut', 'In Ordnung', 'In Ordnung', 'Abgenutzt', 'In Ordnung']",dtv Verlagsgesellschaft,30.18,9,"['verfügbar', 'verfügbar', 'verfügbar', 'verfügbar', 'verliehen', 'verfügbar', 'verliehen']",28
"Ohne der Sohn, ['Krimis & Thriller']",Wanda Gorlitz,978-1-4992-4181-5,14021944,2,['Beschädigt'],WEKA-Verlagsgruppe,19.11,1,['verfügbar'],14
"Unser der Monate, ['Kinder- und Jugendbücher']","Lehmann, Adalbert",978-1-376-38031-6,16121991,6,"['Unvollständig', 'Abgenutzt', 'In Reparatur', 'Neu', 'In Ordnung', 'In Ordnung']",Verlagsgruppe Weltbild,28.53,6,"['verfügbar', 'verliehen', 'gelb', 'rot', 'verfügbar', 'vorgemerkt']",14
"Gefährlich der Stunde, ['Belletristik']",Patrizia Finke,978-1-171-38666-7,21072007,4,"['Sehr gut', 'In Reparatur']",Verlagsgruppe Herder,28.5,2,"['verliehen', 'verfügbar']",14
"Langsam der Gab, ['Belletristik']",Käte Martin,978-1-55674-720-5,24101970,1,[],Springer Fachmedien,32.1,0,[],14
"Nicht der Unten, ['Belletristik']",Vesna Weitzel,978-0-16-724795-1,24011971,3,"['In Reparatur', 'Gut', 'In Ordnung', 'In Ordnung']",MairDumont,19.7,4,"['verliehen', 'verliehen', 'grün', 'vorgemerkt']",14
"Los der Gut, ['Geschichte']",Caren Textor,978-0-9754008-8-3,09061978,3,"['Beschädigt', 'Sehr gut', 'Neu', 'Neu', 'Sehr gut', 'Abgenutzt']",MairDumont,23.4,6,"['verfügbar', 'verfügbar', 'grün', 'grün', 'verliehen', 'grün']",7
"Musik der Himmel, ['Belletristik', 'Belletristik']",Czeslaw Hettner,978-0-234-00150-9,08061973,8,"['Beschädigt', 'Neu', 'Gut', 'Gut']",Hanser Verlag,22.88,4,"['verliehen', 'grün', 'verfügbar', 'verliehen']",14
"Holen der Etwas, ['Wissenschaft']",Gretchen Gorlitz,978-1-4843-7011-7,22011908,6,"['Sehr gut', 'Neu', 'In Ordnung', 'Abgenutzt', 'Gut']",Nomos Verlagsgesellschaft,37.45,5,"['grün', 'rot', 'rot', 'grün', 'verfügbar']",28
"Hund der Dir, ['Belletristik']",Albin Junitz,978-0-308-49674-3,01121906,7,"['Unvollständig', 'Ausgemustert']",Cornelsen Verlag,23.83,2,"['verliehen', 'rot']",14
"Zimmer der Mögen, ['Sprachen']",Hinrich Renner,978-1-65250-995-0,13042010,9,"['Unvollständig', 'Unvollständig', 'Neu', 'Neu', 'Neu', 'Verloren']",Verlagsgruppe Husum,16.9,6,"['verfügbar', 'verfügbar', 'verfügbar', 'verfügbar', 'rot', 'rot']",999
"Her der Offen, ['Sport']",Swen Killer,1-342-48761-3,19071223,4,"['Neu', 'In Ordnung', 'Abgenutzt', 'Unvollständig', 'Beschädigt', 'Neu']",Hanser Verlag,36.69,6,"['rot', 'rot', 'rot', 'rot', 'verfügbar', 'gelb']",
"Mögen der Etwas, ['Kunst und Kultur']",Vesna Finke,978-0-9801197-9-4,03041960,1,"['Abgenutzt', 'Neu']",Münchner Verlagsgruppe,43.74,3,"['verliehen', 'grün']",21
"Tot der Kann, ['Krimis & Thriller', 'Reiseliteratur']",Jenny Noack,978-1-227-05489-2,22032013,9,"['Sehr gut', 'In Reparatur', 'Beschädigt', 'Sehr gut', 'Beschädigt']",MM Verlag,29.05,5,"['verliehen', 'verliehen', 'rot', 'gelb']",10
"Dem der Überall, ['Belletristik']",Gotthard Conradi,978-0-657-54616-8,31101951,7,['Gut'],Thomas Kettler Verlag,14.14,1,['verfügbar'],14
"Und der Reich, ['Kinder- und Jugendbücher']",Hans-Christian Bolander,978-0-643-63292-9,30081940,7,"['Neu', 'Gut', 'Neu', 'Neu', 'Ausgemustert', 'Abgenutzt', 'In Ordnung', 'In Ordnung', 'Gut']",Eulenspiegel Verlagsgruppe,2778,9,"['rot', 'grün', 'rot', 'grün', 'grün', 'ausgeliehen', 'rot', 'verfügbar', 'verfügbar']",14
"Sechs der Letzte, ['Belletristik']",Jennifer Hering,978-0-87695-213-9,2000-01-06,7,['Sehr gut'],Münchner Verlagsgruppe,36.39,1,['grün'],14
"Nach der Schreiben, ['Kinder- und Jugendbücher']",Mathilde Noack,978-1-55399-944-7,05041941,5,"['Gut', 'Neu', 'Sehr gut', 'Sehr gut', 'Unvollständig', 'Gut', 'Gut', 'Verloren', 'Sehr gut']",HUBERT BURDA MEDIA,30.96,9,"['grün', 'rot', 'gelb', 'rot', 'verfügbar', 'grün', 'verfügbar', 'rot', 'rot']",14
"Blau der Stunde, ['Kunst und Kultur']",Käte Henk,978-0-85508-291-8,04022018,9,['Sehr gut'],FISCHER VERLAGE,29.77,1,['verfügbar'],21
"Lieb der Polizei, ['Kinder- und Jugendbücher']",Galina Hettner,0-901402-06-0,17031922,3,"['Beschädigt', 'Unvollständig', 'Sehr gut', 'Sehr gut', 'Verloren', 'Abgenutzt', 'Sehr gut']",Verlagsgruppe Husum,30.39,7,"['rot', 'verfügbar', 'ausgeliehen', 'ausgeliehen', 'grün', 'grün', 'rot']",14
"Essen der Kam, ['Fantasy & Science-Fiction', 'Fantasy & Science-Fiction']",Adalbert Lachmann,978-1-4495-5117-9,03012016,5,"['Neu', 'In Reparatur']",Verlagsgruppe Weltbild,15.96,2,"['verliehen', 'rot']",14
"Bein der Drehen, ['Kinder- und Jugendbücher']",Reinhilde Kabus,978-1-02-919553-3,05052012,1,"['Gut', 'Gut', 'Sehr gut', 'Neu', 'Neu', 'Neu', 'In Ordnung', 'Neu']",Thomas Kettler Verlag,34.93,8,"['grün', 'vorgemerkt', 'grün', 'rot', 'rot', 'gelb', 'verfügbar', 'verfügbar']",14
"Gut der Loch, ['Technik']",Mirko Oderwald,978-0-14-032732-8,06121887,3,"['In Ordnung', 'Neu', 'Gut', 'Sehr gut', 'Sehr gut']",Piper Verlag,16.01,5,"['rot', 'verfügbar', 'ausgeliehen', 'verfügbar', 'gelb']",28
"Eigentlich der Kaufen, ['Reiseliteratur']",Vesna Kraushaar,978-0-411-95572-4,02081955,8,"['Beschädigt', 'Gut']",Oldenbourg Verlag,33.0,2,"['grün', 'verliehen']",10
"Schüler der Grün, ['Belletristik']",Janna Karz,978-0-566-06048-9,1912-03-14,5,"['Verloren', 'Neu', 'Neu', 'Neu']",Redline Verlag,39.27,4,"['vorgemerkt', 'verliehen', 'rot', 'verfügbar']",14
"Wahr der Tier, ['Belletristik']",Lydia Bauer,978-0-240-19049-5,04031915,5,"['Neu', 'Abgenutzt', 'In Ordnung']",Diederichs Verlag,37.47,3,"['gelb', 'ausgeliehen', 'gelb']",14
"Wie der Frei, ['Sprachen']",Janna Lehmann,978-1-78501-106-1,28071887,3,[],dtv Verlagsgesellschaft,17.41,0,[],
"Sagen der Welt, ['Belletristik']",Marieluise Kabus,978-1-4782-3648-1,03081975,8,"['Abgenutzt', 'Sehr gut', 'Gut', 'In Reparatur', 'Neu', 'Unvollständig', 'Neu']",Thienemann-Esslinger,51.22,7,"['rot', 'rot', 'gelb', 'verliehen', 'verfügbar', 'verliehen', 'verfügbar']",14
"Unter der An, ['Kinder- und Jugendbücher']",Serge Junitz,978-1-77077-885-6,02101988,3,"['Sehr gut', 'Neu', 'Sehr gut', 'Abgenutzt']",Verlag C.H. Beck,37.4,4,"['rot', 'verfügbar', 'rot', 'vorgemerkt']",14
"Verlieren der Voll, ['Reiseliteratur']",Madlen Hering,978-1-4434-0225-5,15052010,9,"['Ausgemustert', 'Neu', 'In Ordnung', 'Abgenutzt', 'In Ordnung', 'Beschädigt', 'Beschädigt']",Verlagshaus Römerweg,28.35,7,"['grün', 'gelb', 'verfügbar', 'verfügbar', 'rot', 'verliehen', 'ausgeliehen']",10
"Wird der Wohl, ['Belletristik', 'Kinder- und Jugendbücher']",Andrey Kroker,978-1-68783-940-4,11091994,7,"['Neu', 'In Ordnung', 'Unvollständig', 'Neu']",MM Verlag,22.44,4,[],14
"Weinen der Schreiben, ['Kinder- und Jugendbücher']",Jenny Zobel,978-0-19-521897-8,08102007,4,"['Beschädigt', 'Abgenutzt', 'Gut', 'Sehr gut', 'Sehr gut', 'Gut']",Münchner Verlagsgruppe,12.27,6,[],14
"Bauen der Glück, ['Philosophie']",Mathilde Kroker,978-1-137-44658-9,19101882,1,"['Gut', 'Neu', 'Abgenutzt', 'Neu', 'Neu', 'Verloren', 'Abgenutzt', 'Gut', 'Neu']",Nomos Verlagsgesellschaft,39.43,9,"['verfügbar', 'verfügbar', 'rot', 'grün', 'verfügbar', 'vorgemerkt', 'rot', 'gelb', 'verfügbar']",28
"Wenn der Sicher, ['Belletristik']",Jessika Hering,978-1-128-77885-9,21031915,1,"['Neu', 'In Ordnung', 'Gut', 'Sehr gut', 'Unvollständig', 'In Ordnung', 'Gut', 'Neu']",Beltz & Gelberg,35.74,8,"['grün', 'verfügbar', 'verfügbar', 'grün', 'rot']",14
"Garten der Um, ['Kunst und Kultur']",Ahmad Mies,978-0-590-77302-7,16022008,1,"['Unvollständig', 'Verloren', 'Sehr gut', 'Sehr gut', 'Neu', 'Gut', 'Unvollständig', 'In Reparatur', 'In Reparatur']",Verlagsgruppe Georg von Holtzbrinck,39.46,9,"['rot', 'verfügbar', 'grün', 'verfügbar', 'vorgemerkt', 'grün', 'vorgemerkt', 'rot', 'gelb']",21
"Wohl der Brot, ['Kinder- und Jugendbücher']","Atzler, Czeslaw",978-1-183-69632-7,22082002,1,"['Gut', 'In Ordnung', 'Ausgemustert', 'Gut']",O'Reilly Media,23.69,4,"['rot', 'verliehen', 'vorgemerkt', 'rot']",14
"Unter der Ihr, ['Gesundheit', 'Computer & IT']",Mathilde Ehlert,978-0-09-874557-1,19061909,3,"['Neu', 'Sehr gut', 'Beschädigt', 'Beschädigt', 'Beschädigt']",Droemer Knaur,38.39,5,"['verloren', 'rot', 'gelb', 'grün', 'verfügbar']",28
"Rad der Beispiel, ['Naturwissenschaften', 'Belletristik']",Galina Junk,978-0-9949040-4-1,09111992,2,"['Neu', 'Gut', 'Abgenutzt', 'In Ordnung', 'Neu', 'Sehr gut', 'Neu', 'In Ordnung']",Hubert Burda Media,28.13,8,"['rot', 'verfügbar', 'verliehen', 'verfügbar', 'rot', 'gelb', 'grün', 'verfügbar']",14
"Zur der Lachen, ['Geschichte']",Albin Krause,978-0-503-38324-4,05021933,8,"['Sehr gut', 'Neu', 'Abgenutzt', 'Verloren', 'In Ordnung']",Oldenbourg Verlag,40.89,5,"['verfügbar', 'rot', 'grün', 'verfügbar', 'gelb']",28
"Bis der Sprechen, ['Naturwissenschaften', 'Belletristik']",Helene Oderwald,978-0-578-75413-0,19091883,3,"['In Reparatur', 'Beschädigt', 'In Reparatur', 'Abgenutzt']",Haufe Mediengruppe,26.44,4,"['gelb', 'verloren', 'rot', 'rot']",14
"Monat der Nach, ['Belletristik']",Wanda Schmidt,978-1-948632-22-5,07011935,2,"['Neu', 'Beschädigt', 'Gut', 'Beschädigt', 'In Reparatur', 'Sehr gut', 'Gut', 'Abgenutzt', 'Beschädigt']",REDLINE VERLAG,40.39,9,"['rot', 'verfügbar', 'verfügbar', 'verfügbar', 'verfügbar', 'grün', 'verfügbar', 'verfügbar', 'verfügbar']",14
"In der Schlafen, ['Biografien']",Patrizia Weitzel,978-0-18-411457-1,30091890,6,"['In Reparatur', 'Gut', 'Ausgemustert']",Medien Union,34.13,3,"['verfügbar', 'verloren', 'verfügbar']",21
"Lieb der Traurig, ['Kinder- und Jugendbücher']",Harold Junk,978-1-03-816249-6,07031990,4,"['In Ordnung', 'Beschädigt', 'Neu', 'In Ordnung', 'Neu', 'In Reparatur', 'In Ordnung', 'Unvollständig', 'Gut']",Verlag J. Neumann,3498,9,"['verliehen', 'verloren', 'verfügbar', 'verfügbar', 'verliehen', 'grün', 'gelb', 'verfügbar', 'grün']",14
"Bringen der Kann, ['Belletristik']",Geert Wilmsen,978-1-72481-725-9,08031977,3,"['Neu', 'Sehr gut']",Nomos Verlagsgesellschaft,26.3,2,"['rot', 'vorgemerkt']",14
"Lange der Auge, ['Reiseliteratur']",Carolin Süßebier,978-1-243-47453-7,2010-01-09,8,"['Sehr gut', 'Gut', 'Abgenutzt', 'Sehr gut', 'Sehr gut', 'Sehr gut', 'Sehr gut', 'Neu']",dtv Verlagsgesellschaft,24.6,8,"['grün', 'verfügbar', 'rot', 'gelb', 'verfügbar', 'verliehen', 'grün', 'verfügbar']",10
"Braun der Schnell, ['Sachbücher']",Dietlinde Krause,978-1-218-99081-9,02051952,9,"['Neu', 'Gut', 'Ausgemustert', 'Unvollständig', 'Gut', 'Neu', 'In Ordnung', 'Neu', 'Neu']",Nomos Verlagsgesellschaft,38.84,9,"['rot', 'verfügbar', 'rot', 'verfügbar', 'grün', 'verliehen', 'grün', 'grün', 'verfügbar']",21
"Vier der Zwischen, ['Kinder- und Jugendbücher', 'Kinder- und Jugendbücher']",Norbert Adler,978-1-5476-9152-4,27081979,1,"['Sehr gut', 'In Ordnung']",SPRINGER FACHMEDIEN,39.26,2,"['rot', 'rot']",14
"Schluss der Ja, ['Kinder- und Jugendbücher']",Alice Atzler,978-1-311-71856-3,1962-03-06,9,"['Neu', 'Beschädigt', 'Abgenutzt', 'Unvollständig', 'Beschädigt']",Redline Verlag,21.3,5,"['rot', 'vorgemerkt', 'verliehen', 'verliehen', 'grün']",14
"Schauen der Bis, ['Belletristik']",Hans-Günter Fischer,978-0-625-68391-8,11051964,4,['Ausgemustert'],Hans Gerig Musikverlage,37.73,1,['verfügbar'],14
"Geschenk der Ruhig, ['Kochen & Ernährung']",Gretchen Noack,978-1-294-32396-9,23031932,7,"['In Ordnung', 'Neu', 'In Ordnung', 'Sehr gut', 'Gut']",MÜNCHENER VERLAGSGRUPPE,5444,5,"['gelb', 'grün', 'grün', 'rot', 'verfügbar']",10
"Nacht der Hund, ['Kinder- und Jugendbücher']",Swantje Wesack,978-0-427-19033-1,13042012,4,"['Sehr gut', 'Beschädigt', 'Unvollständig', 'In Ordnung', 'Sehr gut']",Haufe Mediengruppe,33.79,5,"['grün', 'ausgeliehen', 'verfügbar', 'grün', 'rot']",14
"Glück der Halten, ['Fantasy & Science-Fiction', 'Kochen & Ernährung']",Valentin Nerger,978-1-314-11767-7,30101999,8,"['Abgenutzt', 'Sehr gut', 'Beschädigt', 'Neu', 'Verloren', 'Neu']",C.H. Beck,38.24,6,"['rot', 'vorgemerkt', 'verloren']",10
"Versuchen der Wer, ['Wissenschaft']",Angela Linke,978-0-290-55118-5,27101944,8,['Beschädigt'],Hans Gerig Musikverlage,42.73,2,['verliehen'],28
"Ließ der Lieb, ['Reiseliteratur', 'Philosophie']",Falko Adler,978-1-5446-0092-5,08051899,3,"['Ausgemustert', 'In Reparatur', 'Neu', 'Gut']",VERLAGSGRUPPE HANDELSBLATT,40.96,4,['verliehen'],28
"Halten der Jung, ['Kinder- und Jugendbücher']",Erika Hein,978-0-7587-3411-2,20041900,2,['Gut'],SingLiesel Verlag,32.9,1,['grün'],14
"Kein der Verstehen, ['Wissenschaft']",Marius Fischer,978-0-348-30312-4,25021974,2,"['In Ordnung', 'Neu', 'Sehr gut', 'Neu']",Hanser Verlag,38.9,4,"['verfügbar', 'rot']",999
"Brauchen der Winter, ['Wissenschaft']",Mariele Franke,978-1-55230-927-8,09101932,8,"['Gut', 'Gut', 'Sehr gut', 'Unvollständig', 'Sehr gut', 'Sehr gut', 'In Ordnung', 'In Ordnung']",MairDumont,31.17,8,"['verfügbar', 'ausgeliehen', 'verliehen', 'verfügbar', 'verfügbar', 'rot', 'gelb', 'rot']",28
"Wirklich der Will, ['Kochen & Ernährung', 'Fantasy & Science-Fiction']",Alice Sontag,978-1-60588-380-9,23071949,6,"['Sehr gut', 'Unvollständig', 'Sehr gut', 'Beschädigt', 'Gut', 'Abgenutzt', 'Verloren']",SPRINGER FACHMEDIEN,23.24,7,"['verliehen', 'grün', 'verloren', 'rot', 'rot', 'rot']",14
"Es der Erst, ['Sachbücher']","Linke, Maurizio",978-0-426-65638-8,20081882,6,"['Neu', 'Neu', 'In Ordnung']",WEKA-Verlagsgruppe,24.49,3,"['rot', 'verfügbar', 'ausgeliehen']",21
"Wetter der Fünf, ['Belletristik', 'Kinder- und Jugendbücher']","Haase, Cornelia",978-1-204-49655-4,28011900,7,"['Gut', 'Abgenutzt', 'Beschädigt', 'Abgenutzt', 'In Ordnung', 'In Reparatur']",Hanser Verlag,34.43,6,"['verfügbar', 'verfügbar', 'ausgeliehen', 'rot', 'verfügbar', 'rot']",14
"Geben der Sonst, ['Reiseliteratur', 'Technik']",Cornelia Hövel,978-1-151-03416-8,1891-03-22,8,"['Neu', 'Abgenutzt', 'Beschädigt', 'In Ordnung', 'In Ordnung', 'Gut', 'Neu', 'Neu', 'Verloren']",Hubert Burda Media,2667,9,"['verfügbar', 'rot', 'rot', 'verfügbar']",28
"Zwischen der Werfen, ['Kinder- und Jugendbücher']",Lydia Karz,978-1-4153-6550-2,06091993,6,"['Sehr gut', 'Gut', 'Unvollständig']",Carlsen Verlag,25.77,3,"['rot', 'gelb', 'verfügbar']",14
"Schreiben der Arbeiten, ['Belletristik']",Ehrenfried Dietz,978-1-85467-662-7,21041912,7,"['Beschädigt', 'Gut', 'Sehr gut']",Thomas Kettler Verlag,51.99,3,['verliehen'],14
"Man der Leben, ['Fantasy & Science-Fiction']",Dino Budig,978-0-248-80617-6,26091889,6,"['In Reparatur', 'Abgenutzt', 'Beschädigt', 'Neu']",Hans Gerig Musikverlage,25.39,4,"['gelb', 'gelb', 'verfügbar', 'rot']",14
"Schwester der Kein, ['Kinder- und Jugendbücher', 'Geschichte']",Mathilde Krause,978-1-5227-5524-1,1891-07-13,6,"['Neu', 'In Reparatur', 'In Reparatur', 'Unvollständig', 'Sehr gut', 'In Ordnung']",Münchener Verlagsgruppe,39.83,6,"['rot', 'verfügbar', 'ausgeliehen', 'verfügbar', 'verliehen', 'verfügbar']",28
"Lachen der Her, ['Belletristik']",Adalbert Thanel,978-0-8036-6891-1,22021895,9,"['Neu', 'Verloren', 'Gut', 'Gut', 'Gut', 'Beschädigt']",Reclam Verlag,28.4,6,"['vorgemerkt', 'verfügbar', 'verfügbar']",14
"Ab der Früher, ['Gesundheit']","Peukert, Angela",978-1-360-89010-4,07031938,9,"['Neu', 'Neu', 'Neu', 'Neu', 'Sehr gut', 'Beschädigt', 'Neu', 'In Ordnung']",Verlagsgruppe Weltbild,48.5,8,"['verliehen', 'rot', 'grün', 'rot', 'grün', 'grün', 'vorgemerkt', 'verliehen']",14 Tage
"Bauen der Kurz, ['Reiseliteratur']",Anni Mies,1-61628-506-0,28071898,4,"['Neu', 'Sehr gut', 'Beschädigt', 'Unvollständig', 'Verloren']",Diederichs Verlag,39.96,5,"['rot', 'grün', 'verfügbar', 'verliehen', 'rot']",10
"Wald der Weg, ['Technik']",Cindy Lindau,978-1-183-40976-7,20011209,6,"['Ausgemustert', 'Gut', 'In Ordnung', 'Sehr gut', 'Abgenutzt', 'Gut', 'Sehr gut', 'Unvollständig', 'Abgenutzt']",Ullstein Buchverlage,33.93,9,"['verfügbar', 'rot', 'verliehen', 'verfügbar', 'rot', 'grün', 'ausgeliehen', 'grün', 'grün']",28
"Doch der Halbe, ['Sachbücher']",Czeslaw Lachmann,978-1-01-364081-0,23071876,8,"['In Reparatur', 'In Ordnung', 'Gut', 'Sehr gut']",Suhrkamp Verlag,36.82,4,"['verliehen', 'verfügbar', 'rot', 'gelb']",
"Grün der Ball, ['Gesundheit', 'Reiseliteratur']",Andrey Lindau,978-1-5127-5081-2,19291228,2,"['Unvollständig', 'Gut']",WEKA-Verlagsgruppe,25.52,5,"['grün', 'rot', 'rot', 'grün', 'verfügbar']",10
"Geben der Schwer, ['Belletristik']",Nadeschda Kabus,978-1-964834-48-1,03111922,3,['Gut'],Münchener Verlagsgruppe,17.39,1,['verliehen'],14
"Las der Garten, ['Sachbücher', 'Geschichte']",Dino Weitzel,978-1-00-467580-7,16011887,8,"['Sehr gut', 'Neu', 'Unvollständig', 'Sehr gut', 'Unvollständig', 'Neu', 'Gut', 'Unvollständig']",Goldmann Verlag,13.61,8,"['grün', 'rot', 'verfügbar', 'grün', 'verfügbar', 'verfügbar', 'vorgemerkt']",7
"Zeit der Uhr, ['Psychologie']",Hannelore Krause,978-0-88510-764-3,28111969,2,"['Gut', 'Sehr gut', 'Neu', 'Neu', 'Abgenutzt']",O'Reilly Media,5450,5,"['verliehen', 'rot', 'verfügbar', 'verliehen']",21
"Wir der Stunde, ['Belletristik']",Mariana Wilmsen,978-0-7563-8429-6,14101974,5,[],DROEMER KNAUR,34.83,0,[],14
"Angst der Weihnachten, ['Sachbücher']",Mathilde Budig,978-1-74593-609-0,30102022,1,[],Verlagsgruppe Ippen,29.93,1,['grün'],21
"Jung der Las, ['Reiseliteratur', 'Sachbücher']",Käte Oderwald,978-0-532-62692-3,1897-02-17,2,"['In Reparatur', 'Sehr gut']",Eulenspiegel Verlagsgruppe,34.23,2,"['verfügbar', 'verliehen']",21
"Ging der Wasser, ['Kinder- und Jugendbücher']",Czeslaw Lehmann,978-0-9912201-7-5,23031995,7,"['Sehr gut', 'Sehr gut']",Bastei Lübbe,32.74,2,"['grün', 'gelb']",14
"Mehr der Nehmen, ['Krimis & Thriller']",Dajana Junk,0-670-65784-0,1878-07-07,4,"['Gut', 'Neu', 'Gut', 'In Reparatur', 'Neu', 'Abgenutzt', 'Sehr gut', 'Gut', 'Unvollständig']",Medien Union,28.23,9,"['verfügbar', 'grün', 'verfügbar']",14
"Und der Sonne, ['Kochen & Ernährung']",Arthur Binner,978-1-186-17436-5,08021941,4,"['Sehr gut', 'Gut', 'Abgenutzt']",Südwestdeutsche Medien Holding,30.09,3,"['verfügbar', 'verfügbar', 'vorgemerkt']",10
"Brauchen der Hinter, ['Belletristik', 'Kunst und Kultur']",Kazim Dietz,978-1-57169-501-7,01082023,6,"['Gut', 'Gut', 'Beschädigt', 'In Ordnung']",Verlagsgruppe Herder,37.37,4,"['grün', 'verliehen', 'ausgeliehen', 'verfügbar']",21
